,alpha,alpha_compound,alpha_weighted,alpha_weighted_compound,lognorm,lognorm_compound
espnetv2_w2,5.415165476998103,5.415165476998103,3.78741657612572,3.78741657612572,1.080119252204895,1.0801192671060562
squeezenet_v1_0,3.6619749502334717,4.156896049697651,2.3947386501020564,4.115474230769604,0.8528357744216919,1.078862202545953
squeezenet_v1_1,3.680134774346429,4.031431801629039,2.8783903249019347,4.549861312689219,0.9455428123474121,1.170368664794498
squeezeresnet_v1_0,3.5914175241948074,3.645988621939057,2.4725379910495646,3.849700283251841,0.8655182123184204,1.0980145912321788
squeezeresnet_v1_1,4.042773362808427,4.020757359935289,2.9067609401159586,4.493006371541425,0.9160051941871643,1.1350866452096002
sqnxt23_w1,3.897873754702039,4.305513227750162,1.2668164664235584,1.7762831262527772,0.7239204049110413,0.7920767911756882
sqnxt23_w3d2,4.276147339292667,4.535503294697339,1.2583651478395308,1.7677614955417615,0.7725444436073303,0.8397009643641385
sqnxt23_w2,4.067291177600594,4.484761853288316,0.6421039667900219,1.0411728798421955,0.6730521321296692,0.7337654937004697
sqnxt23v5_w1,3.872245512263987,4.184474419332442,0.7817843880517289,1.2440364296209352,0.648686945438385,0.7174765962401247
sqnxt23v5_w3d2,3.8628292408520934,4.054523625562509,0.6888058573840028,1.10460825998249,0.6885195374488831,0.7565162849971673
sqnxt23v5_w2,3.687084826858708,4.168221112865817,0.343667741463281,0.6387823205998546,0.6289633512496948,0.6913368874980558
shufflenet_g1_w1,5.165026302348572,5.165026302348572,3.2329123070405603,3.2329123070405603,0.996467113494873,0.9964670395851135
shufflenet_g2_w1,5.391502402433358,5.391502402433358,2.972066800280867,2.972066800280867,0.9688032865524292,0.9688032290765217
shufflenet_g3_w1,4.885035660567395,4.885035660567395,2.843826321353836,2.843826321353836,0.9901033639907837,0.9901032835245133
shufflenet_g4_w1,4.415665318194975,4.415665318194975,2.540228757061457,2.540228757061457,0.9878066778182983,0.9878066211938858
shufflenet_g1_w3d4,5.584418208595483,5.584418208595483,3.6178774461690058,3.6178774461690058,0.9687407612800598,0.9687407565116882
shufflenet_g3_w3d4,6.206215248767662,6.206215248767662,3.6435169323341072,3.6435169323341072,1.000852346420288,1.0008523499264437
shufflenet_g1_wd2,4.724598952385121,4.724598952385121,3.9591163675632086,3.9591163675632086,1.06879460811615,1.0687946346071031
shufflenet_g3_wd2,3.854848316388763,3.854848316388763,2.5108459853224083,2.5108459853224083,0.9376361966133118,0.937636117140452
shufflenet_g1_wd4,3.6965818417034604,3.6965818417034604,5.23757149991172,5.23757149991172,1.5385911464691162,1.5385911464691162
shufflenet_g3_wd4,3.979975847153164,3.979975847153164,4.031215692277776,4.031215692277776,1.150587797164917,1.1505877375602722
shufflenetv2_wd2,4.7633581689902975,4.7633581689902975,3.6425494123445117,3.6425494123445117,1.049845814704895,1.0498458472165195
shufflenetv2_w1,4.944802507174268,4.944802507174268,2.3713910267240736,2.3713910267240736,0.889845073223114,0.8898450136184692
shufflenetv2_w3d2,4.767268506367768,4.767268506367768,3.7939677684576827,3.7939677684576827,1.0234085321426392,1.0234085083007813
shufflenetv2_w2,4.263014180960309,4.263014180960309,3.421905415927801,3.421905415927801,1.013391137123108,1.0133911541530065
shufflenetv2b_wd2,4.341527121744743,4.341527121744743,2.592609412237822,2.592609412237822,0.9445024728775024,0.9445024241100658
shufflenetv2b_w1,4.809993300947861,4.809993300947861,1.8958178346965993,1.8958178346965993,0.8534637689590454,0.8534637570381165
shufflenetv2b_w3d2,4.262539892433641,4.262539892433641,1.9027561849696821,1.9027561849696821,0.9038535952568054,0.9038536361285618
shufflenetv2b_w2,4.819073646671646,4.819073646671646,2.1728775460678476,2.1728775460678476,0.9576016068458557,0.9576015761920385
menet108_8x1_g3,3.5058752760745566,3.5058752760745566,2.8739160685490988,2.8739160685490988,1.0128040313720703,1.0128041009108226
menet128_8x1_g4,4.958467879618885,4.958467879618885,3.7087661374110286,3.7087661374110286,1.005707859992981,1.0057078003883362
menet160_8x1_g8,4.425473697236113,4.425473697236113,4.456786196022126,4.456786196022126,1.2615313529968262,1.2615314424037933
menet228_12x1_g3,6.372984787434901,6.372984787434901,2.8161020806988786,2.8161020806988786,0.9497836828231812,0.9497836858034134
menet256_12x1_g4,5.417777190869572,5.417777190869572,2.2199248803927256,2.2199248803927256,0.9296892285346985,0.9296891450881958
menet348_12x1_g3,7.992093017312569,7.992093017312569,2.626839039760404,2.626839039760404,0.9397522807121277,0.939752242394856
menet352_12x1_g8,5.4911681638011665,5.4911681638011665,2.111572406397258,2.111572406397258,0.9635631442070007,0.9635631342728933
menet456_24x1_g3,6.615741136502239,6.615741136502239,1.9737157688565456,1.9737157688565456,0.9623757004737854,0.9623757004737854
mobilenet_w1,4.311184575320433,4.311184575320433,3.8748585155128334,3.8748585155128334,1.1865549087524414,1.186554913337414
mobilenet_w3d4,4.067735419558794,4.067735419558794,3.9955276233189756,3.9955276233189756,1.2116352319717407,1.2116351922353108
mobilenet_wd2,5.192749351129939,5.192749351129939,4.640086734665965,4.640086734665965,1.1487773656845093,1.1487774352232616
mobilenet_wd4,4.007842311761477,4.007842311761477,5.543601212693777,5.543601212693777,1.328364372253418,1.328364408016205
fdmobilenet_w1,4.4456699167853095,4.4456699167853095,4.5309375707522115,4.5309375707522115,1.238230586051941,1.2382305752147327
fdmobilenet_w3d4,4.482639308654713,4.482639308654713,4.613991514210605,4.613991514210605,1.2356504201889038,1.2356505393981934
fdmobilenet_wd2,4.5045338534064,4.5045338534064,5.214855093923523,5.214855093923523,1.271194338798523,1.271194303035736
fdmobilenet_wd4,4.268797711897582,4.268797711897582,5.670693654549173,5.670693654549173,1.2903131246566772,1.2903130948543549
mobilenetv2_w1,4.716357670542664,4.716357670542664,2.3273057550555087,2.3273057550555087,0.9898181557655334,0.9898181220759517
mobilenetv2_w3d4,4.624098133047252,4.624098133047252,2.5369883950612095,2.5369883950612095,1.0430365800857544,1.0430365085601807
mobilenetv2_wd2,4.345918046424135,4.345918046424135,2.945093169233246,2.945093169233246,1.113905429840088,1.1139055556721158
mobilenetv2_wd4,5.683185394710314,5.683185394710314,4.844013936391918,4.844013936391918,1.3444236516952515,1.3444236914316814
igcv3_w1,5.124234857227461,5.124234857227461,1.757251530670096,1.757251530670096,0.9006428122520447,0.9006427937540514
igcv3_w3d4,6.3230414773032635,6.3230414773032635,2.674260259473845,2.674260259473845,0.971876323223114,0.9718763516062782
